Color Name,HEX Code,RGB
White,#FFFFFF,"(255, 255, 255)"
Off-White,#FAF9F6,"(250, 249, 246)"
Ivory,#FFFFF0,"(255, 255, 240)"
Cream,#FFFDD0,"(255, 253, 208)"
Beige,#F5F5DC,"(245, 245, 220)"
Black,#000000,"(0, 0, 0)"
Charcoal,#36454F,"(54, 69, 79)"
Gray,#808080,"(128, 128, 128)"
Light Gray,#D3D3D3,"(211, 211, 211)"
Silver,#C0C0C0,"(192, 192, 192)"
Red,#FF0000,"(255, 0, 0)"
Crimson,#DC143C,"(220, 20, 60)"
Burgundy,#800020,"(128, 0, 32)"
Maroon,#800000,"(128, 0, 0)"
Scarlet,#FF2400,"(255, 36, 0)"
Brick Red,#CB4154,"(203, 65, 84)"
Orange,#FFA500,"(255, 165, 0)"
Tangerine,#F28500,"(242, 133, 0)"
Peach,#FFDAB9,"(255, 218, 185)"
Coral,#FF7F50,"(255, 127, 80)"
Yellow,#FFFF00,"(255, 255, 0)"
Mustard,#FFDB58,"(255, 219, 88)"
Gold,#FFD700,"(255, 215, 0)"
Green,#008000,"(0, 128, 0)"
Lime,#00FF00,"(0, 255, 0)"
Olive,#808000,"(128, 128, 0)"
Forest Green,#228B22,"(34, 139, 34)"
Emerald,#50C878,"(80, 200, 120)"
Teal,#008080,"(0, 128, 128)"
Blue,#0000FF,"(0, 0, 255)"
Sky Blue,#87CEEB,"(135, 206, 235)"
Navy,#000080,"(0, 0, 128)"
Royal Blue,#4169E1,"(65, 105, 225)"
Cobalt,#0047AB,"(0, 71, 171)"
Turquoise,#40E0D0,"(64, 224, 208)"
Sapphire,#0F52BA,"(15, 82, 186)"
Denim,#1560BD,"(21, 96, 189)"
Purple,#800080,"(128, 0, 128)"
Lavender,#E6E6FA,"(230, 230, 250)"
Violet,#8F00FF,"(143, 0, 255)"
Pink,#FFC0CB,"(255, 192, 203)"
Hot Pink,#FF69B4,"(255, 105, 180)"
Blush,#DE5D83,"(222, 93, 131)"
Rose,#FF007F,"(255, 0, 127)"
Magenta,#FF00FF,"(255, 0, 255)"
Salmon,#FA8072,"(250, 128, 114)"
Brown,#A52A2A,"(165, 42, 42)"
Tan,#D2B48C,"(210, 180, 140)"
Mocha,#967969,"(150, 121, 105)"
Chocolate,#7B3F00,"(123, 63, 0)"
Bronze,#CD7F32,"(205, 127, 50)"
